Facility Number,Facility Name,Common Name,Registration Status,Created At,Updated At,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude,Date Opened,National Grid,Generator,Solar Panels,No Electricity,Other
113203-4,Afrann,,Registered,2019-03-27T11:02:50.000Z,2019-06-03T17:40:56.000Z,Western Zone,Tabora,Nzega,Nzega DC,Nata,Nata,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/TAB/AUT/020,,-4.030728,33.133757,,0,0,0,0,0
105282-8,Africa Amini Momella,Momela Olkungwado,Registered,2013-08-20T10:42:54.000Z,2019-06-01T11:41:57.000Z,Northern Zone,Arusha,Arumeru,Meru DC,Ngarenanyuki,Olkong'wado,Health Center,Operating,Public - LGA,,02-02-0118,-3.213285,36.861852,22/05/2010,1,1,1,0,0
100034-8,Africa Sana Dental,Africa Sana,,2013-08-20T10:23:43.000Z,2017-02-27T10:27:40.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kijitonyama,Mwenge,Clinic - Dental Clinic,Operating,Private - For Profit,,,-6.773807,39.233285,,1,0,0,0,0
112096-3,Africana Eye Centre,,Registered,2018-02-06T06:18:02.000Z,2019-02-27T08:23:56.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Miburani,Wailes,Clinic - Optometry Clinic,Operating,Private - For Profit,158,,-6.86653,39.27168,24/10/2017,1,0,0,0,0
100035-5,Afya,Afya,Registered,2013-08-20T10:23:43.000Z,2019-05-23T16:50:50.000Z,Southern Highlands Zone,Katavi,Mpanda,Mpanda MC,Makanyagio,Makanyagio,Dispensary,Operating,Private - For Profit,151206,23-02-0102,-6.340138,31.068905,21/05/1999,1,0,0,0,1
100036-3,Afya Bora,Afya Bora,Registered,2013-08-20T10:23:43.000Z,2019-11-14T17:28:52.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Vingunguti,Miembeni,Dispensary,Operating,Private - For Profit,72263,,-6.84474,39.2261,09/02/2004,1,0,0,0,0
100037-1,Afya Care,,,2013-08-20T10:23:44.000Z,2015-07-11T07:16:28.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kiburugwa,Kwanyoka,Dispensary,Closed,Private - For Profit,,,-6.91265,39.2547,,0,0,0,0,0
111888-4,Afya care charitable,Afya care mbezi kwa msuguli,Registered,2017-10-17T12:27:42.000Z,2019-08-03T16:19:35.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Msigani,Msigani,Dispensary,Operating,Private - For Profit,,,-6.79672,39.12846,30/10/2008,1,1,0,0,0
100039-7,Afya Care Charitable,Tausi,Registered,2013-08-20T10:23:44.000Z,2019-08-22T12:59:48.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kimanga,Kisukuru,Dispensary,Closed,Private - For Profit,72290,,-6.827736,39.19782,,1,0,0,0,0
100038-9,Afya Care charitable,Afya Care,Registered,2016-01-21T16:09:29.000Z,2019-08-22T14:02:07.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Karakata,Dispensary,Operating,Private - For Profit,72395,,-6.85834,39.20393,07/07/2012,1,0,0,0,0
110612-9,Afya care Sinza,afya,Registered,2015-07-10T06:57:34.000Z,2019-08-23T10:30:47.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza B,Dispensary,Operating,Private - For Profit,,,-6.78639,39.22538,14/03/2014,1,1,0,0,0
112054-2,Afya check superspecialized kidney and diagnostic and dialysis,Afya Clinic,Registered,2018-01-23T13:17:45.000Z,2019-05-29T09:47:53.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Ruanda,Kabwe,Clinic - Other Clinic,Operating,Private - For Profit,127240,,-8.91691,33.46545,01/01/2016,1,0,0,0,0
100040-5,Afya Head Quarters,,,2013-08-20T10:23:44.000Z,2015-08-26T11:35:20.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Kivukoni,Dispensary,Closed,Public - LGA,,,-6.81462,39.29296,,0,0,0,0,0
111552-6,Afya Max Polyclinic and Diagnostic Centre,Afyamax Clinics,Registered,2016-10-19T06:17:18.000Z,2019-05-23T14:35:39.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Ngarenaro,Kambi ya Fisi,Clinic - Polyclinic,Operating,Private - For Profit,23250,,-3.365947,36.675616,10/10/2016,1,0,0,0,0
111873-6,Afya Medicare .,Afya Medicare Health Centre,Registered,2017-10-05T07:53:45.000Z,2019-05-03T06:56:43.000Z,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Ubena,Maguvani,Health Center,Operating,Private - For Profit,113225,,-8.8415,34.83342,01/06/2017,1,0,0,0,0
110425-6,Afya Specialized,,Registered,2015-07-03T10:50:41.000Z,2019-10-14T06:06:10.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kingo,Kingo,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.82778,37.6674,,0,0,0,0,0
111946-0,Afyabora,AFYA BORA,Registered,2017-11-29T12:39:06.000Z,2018-04-03T12:13:09.000Z,Lake Zone,Kagera,Bukoba,Bukoba MC,Bilele,Jamhuri,Dispensary,Closed (Temporary),Private - For Profit,186206,,-1.33157,31.81111,15/11/2016,1,0,1,0,0
100042-1,Afyayako,Afya yako prinmat,,2013-08-20T10:23:45.000Z,2019-08-14T14:18:06.000Z,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga MC,Mazwi,NHC,Maternity Home,Operating,Private - For Profit,107,,-7.947496,31.617692,,0,0,0,0,0
110621-0,Aga Khan,Aga khan,,2015-07-10T08:35:15.000Z,2016-04-17T18:54:33.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Mbezi beach A,Health Center,Operating,Private - For Profit,,,-6.725548,39.214022,,0,0,0,0,0
Not set,Aga Khan,Aga Khan Mikocheni,Registered,2016-10-17T08:39:56.000Z,2019-02-27T13:07:26.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Bunju,Bunju A,Clinic - Other Clinic,Pending Operation - Construction Complete,Private - For Profit,71483,,-6.74966,39.24036,,0,0,0,0,0
111531-0,Aga Khan,Aga Khan Masaki,Registered,2016-10-17T08:40:26.000Z,2017-11-16T10:38:49.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Masaki,Clinic,Operating,Private - For Profit,Hc 213/453/01/835,,-6.74668,39.2762,11/05/2016,1,0,0,0,0
113429-5,Aga Khan,Aga Khan,Registered,2019-03-29T11:10:47.000Z,2019-03-29T13:46:49.000Z,Lake Zone,Kagera,Bukoba,Bukoba MC,Miembeni,Jamhuri,Clinic - Polyclinic,Operating,Private - NGOs,,,-1.33076,31.81223,11/10/2018,1,1,0,0,0
100046-2,Aga Khan,Aga Khan,Registered,2013-08-20T10:23:45.000Z,2017-05-24T12:46:11.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Madukani,Jamali,Health Center,Operating,Private - Faith based organization (FBO),14003,,-6.180008,35.746365,,1,1,0,0,0
100044-7,Aga Khan,agakhan,Registered,2013-08-20T10:23:45.000Z,2019-05-16T07:52:24.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mji Mkuu,Boma,Clinic - Polyclinic,Operating,Private - Faith based organization (FBO) - Other Denominations,55201,05-01-0115,-6.82926,37.66494,,1,1,0,0,0
108577-8,Aga Khan,AGA KHAN HEALTH CENTRE,Registered,2014-04-03T07:09:16.000Z,2019-05-27T21:29:06.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Pangani,Health Center,Operating,Private - For Profit,23236,,-3.37077,36.68944,07/01/2013,1,1,0,0,0
112974-1,Aga Khan,,Registered,2019-03-07T18:53:04.000Z,2019-05-30T07:52:42.000Z,Western Zone,Tabora,Tabora,Tabora MC,Kanyenye,Msikitini,Clinic - Polyclinic,Operating,Private - For Profit,145218,,-5.018628,32.811134,21/05/2018,0,0,0,0,0
112332-2,Aga Khan,Aga Khan Health Service Tanzania,Registered,2018-08-14T13:44:10.000Z,2019-07-25T10:07:52.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Saranga,Matangini,Clinic - Other Clinic,Operating,Private - Faith based organization (FBO),71531,,-6.79144,39.16736,11/01/2018,1,1,0,0,0
100047-0,Aga Khan,Agakhan health service Tanzania,Registered,2013-08-20T10:23:46.000Z,2019-11-14T17:32:03.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Sea View,Hospital - Hospital at Zonal Level,Operating,Private - Faith based organization (FBO),72001,,-6.842641,39.185461,15/01/1980,1,1,0,0,0
100045-4,Aga Khan,Agakhan Medical centre,Registered,2013-08-20T10:23:45.000Z,2019-11-15T06:15:25.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Kitanzini,Maweni,Clinic - Polyclinic,Operating,Private - For Profit,116002,,-7.78328,35.69643,28/03/2019,1,0,0,0,0
114022-7,Aga Khan,Aga Khan,Registered,2020-02-05T14:09:28.000Z,2020-02-05T14:09:28.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Buza,Buza,Clinic - Super specialized Polyclinic,Operating,Private - For Profit,73429,,-6.89173,39.22363,07/10/2019,1,0,0,0,0
111793-6,Aga Khan Tabata,Agakhan Health Services Tanzania,Registered,2017-07-12T05:57:28.000Z,2019-03-01T09:13:38.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Segerea,Migombani,Clinic - Polyclinic,Operating,Private - Faith based organization (FBO),72456,,-6.84264,39.18546,19/10/2017,1,1,0,0,0
111808-2,Aga Khan Mianzini,,Registered,2017-07-21T14:24:35.000Z,2019-08-06T08:07:45.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Mianzini,Majimatitu,Dispensary,Operating,Private - For Profit,73396,,-6.91529,39.27254,,1,0,0,0,0
113635-7,Aga khan Polyclinic Bunda,Agakhan,Registered,2019-05-23T18:20:07.000Z,2019-05-23T18:20:07.000Z,Lake Zone,Mara,Bunda,Bunda TC,Kabarimu,Saranga,Clinic - Polyclinic,Operating,Private - Faith based organization (FBO),,,-2.02327,33.87325,01/03/2019,1,1,0,0,0
111422-2,Aga Khan Tandika,,Registered,2016-08-11T12:25:07.000Z,2019-08-06T08:20:58.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Tandika,Tamla,Dispensary,Operating,Private - For Profit,,,-6.868072,39.259839,,0,0,0,0,0
112229-0,Aga Khan Ukonga,Agakhan,Registered,2018-05-14T10:10:05.000Z,2019-08-14T07:10:57.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Clinic - Polyclinic,Operating,Private - Faith based organization (FBO),,,-6.86637,39.19892,01/08/2017,1,1,0,0,0
111929-6,Aga Khani Medical mikocheni,Aga Khani Medical Clinic Mikocheni,Registered,2017-11-24T14:54:25.000Z,2019-08-06T11:22:59.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mikocheni,Regent Estate,Clinic - Medical Clinic,Operating,Private - For Profit,,,-6.7467,39.276,11/05/2016,1,1,0,0,0
111907-2,Agakhan,Aga khan,Registered,2017-11-15T18:10:10.000Z,2019-03-01T10:16:18.000Z,Eastern Zone,Dar es Salaam,Kigamboni,Kigamboni MC,Kibada,Kifurukwe,Clinic - Polyclinic,Operating,Private - For Profit,73388,,-6.87674,39.34119,18/10/2017,1,1,0,0,0
112162-3,Agakhan poly,Agakhan poly,Registered,2018-04-03T07:04:20.000Z,2019-07-02T13:16:39.000Z,Western Zone,Shinyanga,Kahama,Kahama TC,Kahama Mjini,Igalilimi,Clinic - Polyclinic,Operating,Private - For Profit,,,-3.827406,32.59816,08/05/2017,1,1,0,0,0
111687-0,Agano .,Agano Dispensary,Registered,2017-03-21T08:11:05.000Z,2018-09-20T13:08:42.000Z,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Ubena,Not set,Dispensary,Closed,Private - For Profit,,,-8.8456,34.82562,09/09/2016,1,0,0,0,0
100048-8,Agape,Agape,,2013-08-20T10:23:46.000Z,2016-02-10T20:02:48.000Z,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Mrerani,Mrerani,Dispensary,Closed,Private,,,-3.55124,36.9809,,0,0,0,0,0
113321-4,Agape,,Registered,2019-03-27T17:59:04.000Z,2019-05-29T13:56:57.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyamanoro,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MWZ/AUT/018,,-2.491754,32.905909,,0,0,0,0,0
112276-1,Agape,Agape,Registered,2018-06-25T11:46:02.000Z,2019-06-14T08:11:15.000Z,Northern Zone,Arusha,Karatu,Karatu DC,Karatu,Karatu Mjini,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.32022,35.4045,01/01/2018,1,0,1,0,0
111982-5,Agape,,Registered,2018-01-16T15:41:28.000Z,2019-06-21T07:00:11.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Sombetini,Kirika B,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/AR/AUT/15,,-3.396758,36.658008,,0,0,0,0,0
112674-7,Agape,Hamisi Kindamba,Registered,2019-03-02T02:55:39.000Z,2019-07-18T09:24:30.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mwembesongo,Not set,Health Labs - Level III single purpose Health Laboratory,Operating,Private - For Profit,Phl-C/Mor/Aut/022,,-6.81366,37.669422,,0,0,0,0,0
100050-4,Agape,,Registered,2013-08-20T10:23:46.000Z,2019-08-07T10:00:52.000Z,Southern Zone,Lindi,Liwale,Liwale DC,Liwale Mjini,Not set,Dispensary,Operating,Private - For Profit,,,-9.802,37.93013,18/06/2013,1,0,1,0,0
111570-8,Agape,King'anda,Registered,2016-11-02T11:38:48.000Z,2019-09-11T09:18:03.000Z,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Kiluvya,Kiluvya 'B',Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/PWN/AUT/015,,-6.80108,39.02182,01/08/2015,1,0,0,0,0
113138-2,Agape,Agape Dispensary,Registered,2019-03-08T19:02:17.000Z,2019-11-27T12:58:29.000Z,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Dumila,Dumila,Dispensary,Operating,Private - For Profit,,,-6.387755,37.339629,01/07/2018,1,1,0,0,0
100053-8,Agha Khan,Aga Khan,Registered,2013-08-20T10:23:47.000Z,2019-07-26T11:06:55.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Sisimba,Soko kuu,Health Center,Operating,Private - Faith based organization (FBO),127003,12-07-0132,-8.89312,33.44157,,1,0,0,0,0
112683-8,AGM,,Registered,2019-03-02T03:22:12.000Z,2019-07-25T09:04:26.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Miburani,Wailes,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.86391,39.26955,10/10/2018,0,0,0,0,0
100055-3,Ahmadiyya,,Registered,2013-08-20T10:23:47.000Z,2019-03-18T12:39:57.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kihonda,Not set,Dispensary,Closed,Private - Faith based organization (FBO),,,-6.78845,37.6478,,0,0,0,0,0
100056-1,Ahmadiyya,Ahmadiyya,Registered,2013-08-20T10:23:48.000Z,2019-05-16T07:56:44.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Sabasaba,Makongoro,Health Center,Operating,Private - Faith based organization (FBO),55219,05-01-0116,-6.82734,37.66318,,1,0,0,0,0
111331-5,Ahmes Sec.,Ally Hassan Mwinyi Sec,Registered,2016-02-15T12:26:35.000Z,2019-08-27T10:37:04.000Z,Eastern Zone,Pwani,Bagamoyo,Bagamoyo DC,Kiromo,Kiromo,Dispensary,Closed,Private - For Profit,,,-6.499635,38.913493,11/05/2015,1,0,0,0,0
100058-7,AIC Bweri,Bweri AIC,Registered,2013-08-20T10:23:48.000Z,2015-08-21T11:07:37.000Z,Lake Zone,Mara,Musoma,Musoma MC,Bweri,Bweri,Dispensary,Operating,Private - Faith based organization (FBO),,,-1.53519,33.84328,,1,0,0,0,0
100059-5,AIC Nyasho,AIC Nyasho,Registered,2013-08-20T10:23:48.000Z,2015-08-21T07:37:32.000Z,Lake Zone,Mara,Musoma,Musoma MC,Nyasho,Nyasho Magereza,Dispensary,Operating,Private - Faith based organization (FBO),205207,,-1.512699,33.802456,03/03/2003,1,0,0,0,0
109601-5,AICC,,Registered,2015-03-27T12:05:06.000Z,2019-03-01T09:12:33.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Hospital - Hospital at District Level,Operating,Public - Parastatal,23001,02-03-0500,-3.37481,36.69946,,1,1,0,0,0
