name,building,addr:full,contact:phone,operator,operator:type,operational_status,opening_hours,wheelchair,health_amenity:type,healthcare:equipment,emergency,insurance:health,staff_count:doctors,staff_count:nurses,beds,electricity,water_source,latitude,longitude,source
Centre médico-social de la fonction publique,Hospital,"153, RUE Moussé DIOP, Dakar",+221338215304,DR PATRICE THEOPHILE,Public,Operational,Only open on weekdays with the same hours every day.,No,Doctor Pharmacy Dentist Laboratory,Laboratory,No,Unknown,1,3,1,Power grid,Water works,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé de Sokone,Doctors,Sokone,,Ministère de la Santé et de l'action sociale,Public,Operational,"24/7 - All day, every day",Limited,Doctor Pharmacy Clinic Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,Ultrasound MRI Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public,4,7,96,Power grid,Water works,13.879159,-16.368854,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Sokone,Doctors,,,Ministère de la Santé et de l'Action Sociale,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Clinic Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,,,Public,,,,,,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
centre de santé de kolda,Hospital,"6km, en face de la gendarmerie",+221339961105,DR SOULEYMANE SAGNA,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,X-Ray Laboratory Imaging Equipment,No,Public Private,2,5,24,Power grid,Water works,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
service régional de l'Action sociale de Fatick,Hospital,Quartier Darou Rahmane,,Aliou SENE,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Rehabilitation,,No,None,,,,Power grid,Water works,14.73577,-17.422746,#senegal #covid-19 #emergency-health-data #healthsites
Centre hospitalier régional Amadou Sakhir Mbaye Louga,Hospital,Keur serigne bara,,MSAS,Public,Operational,"24/7 - All day, every day",,Doctor Pharmacy Hospital Clinic Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public,,,,,,15.61812,-16.234688,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire thionck -Essyl,Doctors,Bignona,775706091,Abdel Kader Souandy Sarr,Public,Operational,"24/7 - All day, every day",Yes,Pharmacy Alternative Laboratory Optometry/Ophtalmology Birthing center,Laboratory Emergency Department,Yes,Public,2,22,30,Power grid,Water works,16.025289,-16.487292,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Bambilor,Doctors,,,République du Sénégal,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Birthing center,,Yes,None,,1,20,Power grid,Water works,14.8011,-17.18592,#senegal #covid-19 #emergency-health-data #healthsites
Poste de sante Guinaw Rail SUD,Doctors,almoumane 6B,338348436,Mme Diouf,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy Alternative Birthing center,Ultrasound Laboratory Imaging Equipment Emergency Department,Yes,Public Private,0,1,20,Power grid,Water works,16.025273,-16.487297,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé médine,Doctors,"Mbour, quartier médine",+221775377309,M OUSSEYNOU GUEYE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,Imaging Equipment Emergency Department,Yes,Public,0,3,15,Power grid,Water works,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
centre de centre de goudiry,Doctors,,339837145,Fallou gueye,Private,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy Dentist Laboratory Birthing center,Laboratory Intensive Care Unit Emergency Department,Yes,Public Private,2,4,17,Power grid,Water works,16.025278,-16.487292,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Kédougou,Hospital,,775704991,Etat du sénégal,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Hospital Dentist Blood donation Birthing center,Ultrasound Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public,5,12,36,Power grid,Powered pump,14.7456,-17.416192,#senegal #covid-19 #emergency-health-data #healthsites
CENTRE DE SANTE DE BAMBEY,Doctors,wakhal diam,,Dr Standeur Nabi KALY,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,Ultrasound X-Ray Laboratory Imaging Equipment Emergency Department,Yes,Public Private,5,63,40,Power grid,Water works,14.700428,-16.455679,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire de Thionck-Essyl,Hospital,,,DR. Abdel Kader S . SARR,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Alternative Laboratory Optometry/Ophtalmology Birthing center,,,Public,,,,,,12.794128,-16.509531,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Tivaouane,Doctors,Tivaouane,+221339554666,Ministère de la Santé et de l'action Sociale,Public,Operational,"24/7 - All day, every day",Yes,Pharmacy Clinic Dentist Laboratory Birthing center,Ultrasound Laboratory Imaging Equipment Emergency Department,Yes,Public,2,6,26,Power grid,Water works,14.953699,-16.819661,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Nafadji,Doctors,,,Aliou Faye,,Operational,"24/7 - All day, every day",,Birthing center,,,Public,,,,,,12.620207,-11.610738,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Nafadji,Doctors,,,Alioune Faye,,Operational,"24/7 - All day, every day",,Birthing center,,,Public,,,,,,12.620207,-11.610738,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Nafadji,Doctors,,,Alioune Faye,,Operational,"24/7 - All day, every day",,Birthing center,,,Public,,,,,,12.620207,-11.610738,#senegal #covid-19 #emergency-health-data #healthsites
poste de sante guinaw rail nord,Doctors,marché waranka,,Fatou BA,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy Dentist Birthing center,Ultrasound Laboratory,No,Public,2,1,12,Power grid,Water works,16.025263,-16.487303,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de  Guinaw Rail Nord,Doctors,,,Mme Ndiaye Fatou Ba,,Operational,"24/7 - All day, every day",,Pharmacy,,,Public,,,,,,14.749537,-17.385807,#senegal #covid-19 #emergency-health-data #healthsites
Plateau médical Fama,Clinic,Quartier abattoir lot numéro 3 route hôtel Asta kébé,+221339812402,DR THIONGUANE MAMADOU,Private,Operational,"24/7 - All day, every day",Yes,Doctor Dentist Alternative Laboratory Optometry/Ophtalmology Birthing center,Ultrasound X-Ray Operating Theater Laboratory,Yes,Private,3,4,7,Power grid,Water works,14.739046,-17.429299,#senegal #covid-19 #emergency-health-data #healthsites
Plateau medical fama,Clinic,,,Dr mamadou thiongane,,Operational,"24/7 - All day, every day",,Doctor Dentist Alternative Laboratory Birthing center,,,Private,,,,,,13.762625,-13.669957,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé Abdou Aziz Sy Dabakh,Hospital,"Parcelles Assainies Unité 17, Zone Commerciale",,Ministère de la Santé et de l'Action Sociale,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Clinic Dentist Alternative Laboratory Birthing center,Ultrasound Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,15,30,42,Power grid,Water works,14.757293,-17.438816,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Toubacouta,Doctors,,,Ministere de santé et de l'action sociale,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Laboratory Birthing center,,,Unknown,,,,,,13.786692,-16.474252,#senegal #covid-19 #emergency-health-data #healthsites
Poste de Toubacouta,Doctors,TOUBACOUTA,771396639,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Laboratory Rehabilitation Birthing center,Laboratory,No,Unknown,0,1,4,Power grid,Well,13.786692,-16.474252,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé de Gossas,Doctors,Gossas,+221339471107,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,Operating Theater Laboratory Intensive Care Unit Emergency Department,Yes,Public Private,4,4,12,Power grid,Water works,14.491749,-16.066588,#senegal #covid-19 #emergency-health-data #healthsites
poste de santé de khourounar,Doctors,,,MINISTERE DE SANTE ET DE L'ACTION SOCIALE,Public,Operational,Pick the days of the week open and enter hours for each day,,Doctor Pharmacy,,,Public,,,,,,14.748863,-17.403305,#senegal #covid-19 #emergency-health-data #healthsites
Poste de Santé Khourourar,Doctors,Pikine-Cité Sotiba,+221774197257,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy,Operating Theater,Yes,None,0,1,2,Power grid,Water works,14.748863,-17.403305,#senegal #covid-19 #emergency-health-data #healthsites
Centre  de santé mentale dalal xel de Fatick,Hospital,"Fatick extension, RN2",+221339492157,LES FRERES DE L'ODRE HOSPITALIER SAINT JEAN DE DIEU,Public,Operational,"24/7 - All day, every day",Yes,Alternative,Emergency Department,Yes,Public,2,9,50,Power grid,Water works,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé mentale Dalal Xel Fatick,Hospital,,,Ordre hospitalier St Jean de Dieu,,Operational,"24/7 - All day, every day",,Hospital,,Yes,Public,,,,,,14.345058,-16.425775,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire de Mékhé,Doctors,MEKHE-MBAMBARA,+221775384064,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Dentist Alternative Laboratory Rehabilitation Birthing center,Ultrasound Laboratory Intensive Care Unit Emergency Department,No,None,3,,,Power grid,Water works,15.108074,-16.627215,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Mékhé,Doctors,,,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",,Doctor Pharmacy Laboratory Birthing center,Ultrasound Operating Theater Laboratory,,Public,,,,,,15.108074,-16.627215,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire de khombole,Doctors,KHOMBOLE-KEUR MACODOU,774437806,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Alternative Laboratory Birthing center,Ultrasound MRI X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,No,Public Private,4,29,57,Generator,Water works,14.760766,-16.683435,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire de Khombole,Doctors,,,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Laboratory Birthing center,Ultrasound MRI Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit,,Public,,,,,,14.760766,-16.683435,#senegal #covid-19 #emergency-health-data #healthsites
EPS (Etablissement Publique de Santé) niveau 1 de Kaffrine,Hospital,Quartier Escale Kaffrine,,Ministère de la santé,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,10,63,71,Power grid,Powered pump,14.098949,-15.556889,#senegal #covid-19 #emergency-health-data #healthsites
Thiabedji,Doctors,,,Ministère de la santé et de l'action sociale,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Birthing center,,,None,,,,,,12.634008,-12.414954,#senegal #covid-19 #emergency-health-data #healthsites
Poste de Santé de Thiabédji,Doctors,Bandafassi-Thiabédji,773025924,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Birthing center,,No,None,0,1,3,Solar,Groundwater,12.63424,-12.416249,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Bagadadji,Doctors,Bagadadji,,État du Sénégal,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,Emergency Department,Yes,Public,0,2,10,Solar,Powered pump,12.85141,-14.65267,#senegal #covid-19 #emergency-health-data #healthsites
Hôpital national des enfants Albert Royer,Hospital,A côté université Cheikh Anta Diop,338594747,Directrice,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Laboratory Optometry/Ophtalmology Rehabilitation,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,,,,Power grid,Water works,16.026372,-16.486145,#senegal #covid-19 #emergency-health-data #healthsites
Hôpital régional de Louga,Hospital,,339671024,Docteur Diabaté,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound MRI X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public,,,,Power grid,Water works,16.026372,-16.486145,#senegal #covid-19 #emergency-health-data #healthsites
Poste santé medina baffe,Doctors,,,Abdou camara,,Operational,"24/7 - All day, every day",Yes,Doctor,,,Public,,,,,,12.512638,-11.555657,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Darou Rakhmane,Doctors,GUEDIAWAYE-Darou Rakhmane,,MINISTERE DE LA SANTE ET DE L'ACTION,Public,Operational,Pick the days of the week open and enter hours for each day,,Doctor Pharmacy Laboratory,Laboratory,Yes,None,0,2,6,Power grid,Water works,14.784525,-17.375768,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé silmang,Doctors,,,Djiby mbodji,,Operational,Only open on weekdays with the same hours every day.,,Doctor Pharmacy Birthing center,,,Public Private,,,,,,14.76871,-16.916577,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Grand Dakar,Doctors,,338253253,Niveau 2,Public,Operational,"24/7 - All day, every day",Yes,Doctor,,Yes,Unknown,10,,15,Power grid,Groundwater,14.705673,-17.454105,#senegal #covid-19 #emergency-health-data #healthsites
Dispensaire ophtalmologique de Bopp,Doctors,"Centre Amadou Malick Gaye, Rue G, X Avenue Cheikh Ahmadou Bamba ",+221338253977,ONG Sénégalise: Union pour la Solidarité et l'Entraide (USE),NGO,Operational,Only open on weekdays with the same hours every day.,Limited,Laboratory Optometry/Ophtalmology,Operating Theater Laboratory Imaging Equipment,No,Public,,,,Power grid,Water works,14.702099,-17.4478,#senegal #covid-19 #emergency-health-data #healthsites
DPC / FATICK,Doctors,POste de santé  IMMACULEE  Fatick,,SR Marie Yvonne Mbengue,Religious,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor,,Yes,Public,,4,4,Power grid,Water works,14.340417,-16.418138,#senegal #covid-19 #emergency-health-data #healthsites
District Sanitaire de Wakhinane Nimzatte II,Doctors,"Sénégal, Guédiawaye, Wakhinane Nimzatte II",,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Birthing center,Laboratory,No,Public Private,9,1,,Power grid,Water works,14.776018,-17.371734,#senegal #covid-19 #emergency-health-data #healthsites
Hopitale Régionale de Ndioum,Hospital,NDIOUM,,MINISTÈRE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Laboratory Birthing center,Laboratory Imaging Equipment Emergency Department,Yes,Public Private,,,,Power grid,Water works,16.508881,-14.653949,#senegal #covid-19 #emergency-health-data #healthsites
Poste santé Silmang,Doctors,Route de casséte,339513419,Moustapha faye,Public,Operational,Only open on weekdays with the same hours every day.,Yes,Pharmacy Birthing center,Ultrasound Laboratory Imaging Equipment,No,Public Private,0,1,8,Power grid,Water works,16.026374,-16.486146,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé silmang,Doctors,,+22133,Djiby mbodji,Public,Operational,Only open on weekdays with the same hours every day.,,Doctor Pharmacy Birthing center,,,Public Private,,,,,,14.7687,-16.916549,#senegal #covid-19 #emergency-health-data #healthsites
case de santé sare dickel,Doctors,saré dickel,+221774439919,M SADOU BALDE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,Emergency Department,Yes,Public,0,0,2,Solar,Powered pump,16.026353,-16.486194,#senegal #covid-19 #emergency-health-data #healthsites
Service Médecine du Travail de l'Université Assane Seck de Ziguinchor,Doctors,,,MINISTERE DE LA SANTE,Public,Operational,Only open on weekdays with the same hours every day.,No,Doctor Pharmacy,,No,Public,1,2,4,Power grid,Water works,14.696448,-17.462067,#senegal #covid-19 #emergency-health-data #healthsites
Centre medico social de la fonction publique,Doctors,,,Agent de l'état,Public,Operational,Pick the days of the week open and enter hours for each day,,Doctor Pharmacy Dentist,,,Public,,,,Power grid,,14.665641,-17.434861,#senegal #covid-19 #emergency-health-data #healthsites
Centre hospitalier national pour enfant Albert Royer,Hospital,,,Gouvernement,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Laboratory Optometry/Ophtalmology Rehabilitation,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,,,,Power grid,Water works,14.692176,-17.464211,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé Tivaouane,Hospital,,+221339551554,Dr Pape I. Camara,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Laboratory Birthing center,Ultrasound Laboratory Emergency Department,Yes,Public Private,2,7,28,Power grid,Water works,14.95402,-16.817672,#senegal #covid-19 #emergency-health-data #healthsites
Polyclinique Louis Pasteur ''La Référence'',Hospital,"Keury Kao derrière la SENELEC à côté de l'usine GINA en face de la mer, Rufisque, Dakar",+221338365959,Docteur Serigne Falilou Samb,Private,Operational,"24/7 - All day, every day",Yes,Doctor Hospital Clinic Physiotherapy Alternative Laboratory Rehabilitation Birthing center,Ultrasound MRI Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Private,,,,Power grid,Water works,14.71168,-17.270401,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Yéne,Doctors,,,État du Sénégal,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,Emergency Department,Yes,Public,0,1,5,Power grid,Water works,14.64001,-17.17391,#senegal #covid-19 #emergency-health-data #healthsites
District Sanitaire de Séduction,Hospital,,,District Sanitaire de Sédhiou,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Laboratory Birthing center,Ultrasound X-Ray Laboratory,Yes,Public,,,,Power grid,Water works,12.70724,-15.560997,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de dakately,Doctors,dakately,+221774196296,M SALIOU WADE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,,Yes,Public,0,1,6,Solar,Manual pump,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
