_start,timestamp,username,source,osm_id,Name of Facility,House Number,Street,Post Code,City,Country,Phone Number,Operator Type,Facility Operator Name,Facility Location,_Facility Location_latitude,_Facility Location_longitude,_Facility Location_altitude,_Facility Location_precision,Operational Status,When is the facility open?,Which days is this facility open?,Which days is this facility open?/Monday,Which days is this facility open?/Tuesday,Which days is this facility open?/Wednesday,Which days is this facility open?/Thursday,Which days is this facility open?/Friday,Which days is this facility open?/Saturday,Which days is this facility open?/Sunday,Which days is this facility open?/Public Holidays,Enter open hours for each day:,Monday open hours,Tuesday open hours,Wednesday open hours,Thursday open hours,Friday open hours,Saturday open hours,Sunday open hours,Public Holiday open hours,_select_hours,Enter weekday hours,OSM 'opening_hours',opening_hours,Verify the open hours are correct or go back and fix:,Facility Category,Available Services,Available Services/Doctor,Available Services/Pharmacy,Available Services/Hospital,Available Services/Clinic,Available Services/Dentist,Available Services/Physiotherapy,Available Services/Alternative,Available Services/Laboratory,Available Services/Optometry/Ophtalmology,Available Services/Rehabilitation,Available Services/Blood donation,Available Services/Birthing center,Specialities,Specialities/xx,Speciality medical equipment available,Speciality medical equipment available/Ultrasound,Speciality medical equipment available/MRI,Speciality medical equipment available/X-Ray,Speciality medical equipment available/Dialysis,Speciality medical equipment available/Operating Theater,Speciality medical equipment available/Laboratory,Speciality medical equipment available/Imaging Equipment,Speciality medical equipment available/Intensive Care Unit,Speciality medical equipment available/Emergency Department,Does this facility provide Emergency Services?,Does the pharmacy dispense prescription medication?,Number of Beds,Number of Doctors,Number of Nurses,Types of insurance accepted?,Types of insurance accepted?/Public,Types of insurance accepted?/Private,Types of insurance accepted?/None,Types of insurance accepted?/Unknown,Is this facility wheelchair accessible?,What is the source of water for this facility?,What is the source of power for this facility?,URL for this location (if available),In which health are is the facility located?,In which health zone is the facility located?,__version__,_id,_uuid,_submission_time,_validation_status,_index
2020-08-03T11:40:37.799-00:00,2020-08-03T12:20:10.037-00:00,username not found,HS-Gather-2019-Senegal,02042f17-b09c-4fee-b128-8878adf1ab8e,clinique de la Madeleine,,"Avenue Diambar, Dakar, Sénégal",,Dakar,Sénégal,338899470,Private,Moussa Jony,16.025289 -16.48732 0 0,16.025289,-16.48732,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Clinic,Doctor Pharmacy Clinic Laboratory Birthing center,1,1,0,1,0,0,0,1,0,0,0,1,,,MRI Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,0,1,0,1,1,1,1,1,1,Yes,,70,,55,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62313065,e5413287-ba2d-4038-b0e0-95bb416fda22,2020-08-03T12:20:23,,11
2020-08-14T10:15:48.341-00:00,2020-08-14T10:25:58.590-00:00,username not found,HS-Gather-2019-Senegal,fdff33b9-8ad4-4c42-964d-dbfe8421cb4d,ETABLISSEMENT PUBLIC DE NIVEAU 1 KAFFRINE,,,,,,,,BABAKAR SENE,14.099311 -15.556665 0 24,14.099311,-15.556665,0,24,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,1,1,0,0,1,0,0,1,1,1,1,1,,,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Emergency Department,1,0,1,0,1,1,1,0,1,Yes,,110,8,20,Public Private,1,1,0,0,Yes,Water works,Generator,,,,vhREqQbVASG9GM2ppszLcE,63456057,939a4f30-d614-4b64-925a-2a0ed6782c7f,2020-08-14T10:27:19,,12
2020-08-05T17:55:11.459-00:00,2020-08-06T10:43:27.160-00:00,username not found,HS-Gather-2019-Senegal,be68062c-2398-4caf-96db-c50fd95494cc,Centre de Santé Birkelane,+221339666006,"Département de Birkelane,Escale guadgua près du forage",,Kaffrine,Sénégal,+221339466064,Public,Ministère de la Santé et de l'Action Sociale,14.128194 -15.747231 0 0,14.128194,-15.747231,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Pharmacy Clinic Laboratory Birthing center,0,1,0,1,0,0,0,1,0,0,0,1,,,Ultrasound Laboratory Imaging Equipment Intensive Care Unit Emergency Department,1,0,0,0,0,1,1,1,1,Yes,,17,,9,Public Private,1,1,0,0,Limited,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62611660,c848089d-1898-44cc-b282-ebbad9e244cd,2020-08-06T10:43:46,,13
2020-08-11T13:05:32.548-00:00,2020-08-11T13:26:04.888-00:00,username not found,HS-Gather-2019-Senegal,ce7cd569-a1fa-44c3-a5ab-273167bebb94,Centre Hospitalier Régional de Kolda,,Sare Moussa,27400,Kolda,SENEGAL,339962284,Public,Ministère de la Santé et de l'Action Sociale,12.951029 -14.716053 0 0,12.951029,-14.716053,0,0,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Physiotherapy Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,1,1,0,0,1,1,0,1,1,1,1,1,,,X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,0,0,1,0,1,1,1,1,1,Yes,,150,15,60,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,63129904,c71cd89d-44be-456e-bd50-ebcbfb03e25b,2020-08-11T13:26:59,,14
2020-08-03T13:51:49.128+02:00,2020-08-03T13:59:22.286+02:00,username not found,HS-Gather-2019-Senegal,b03a925a-74fe-4ec1-880f-cdc75db4ca76,centre médico-social chifa,,,,,,,,privée,14.6705 -17.4427 0 229756,14.6705,-17.4427,0,229756,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Clinic Laboratory Birthing center,1,1,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,Private,0,1,0,0,,,,,,,vhREqQbVASG9GM2ppszLcE,62311141,f5dfaddd-8c9b-4a22-b862-b93c3ef8dcab,2020-08-03T11:59:32,,15
2020-08-07T11:13:43.048+02:00,2020-08-07T14:35:15.148+02:00,username not found,HS-Gather-2019-Senegal,fb886e7d-90e6-49b9-89a9-2ff0ff4ba5b5,Poste de santé médina baffé,,commune de medina baffé,,kédougou,Sénégal,+221775893094,Public,M Abdou Camara,16.02639 -16.486127 0 30,16.02639,-16.486127,0,30,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Birthing center,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,Yes,,5,0,1,Public,1,0,0,0,Yes,Powered pump,Solar,,,,vhREqQbVASG9GM2ppszLcE,62743959,23866a8f-886b-48e9-98d8-0a33c0146435,2020-08-07T12:35:26,,16
2020-08-03T12:24:02.217-00:00,2020-08-03T15:39:39.426-00:00,username not found,HS-Gather-2019-Senegal,dd82ef45-7cdc-4b4b-ae82-7197a53238b6,Poste de santé Dindefello,+221774712950,35km Kédougou Route de Salimata,,Kédougou,Sénégal,+221786047741,Combination,ONG- Etat du Sénégal,12.383222 -12.32405 0 0,12.383222,-12.32405,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Pharmacy Birthing center,0,1,0,0,0,0,0,0,0,0,0,1,,,Ultrasound Emergency Department,1,0,0,0,0,0,0,0,1,Yes,,10,,2,Public,1,0,0,0,Yes,Powered pump,Solar,,,,vhREqQbVASG9GM2ppszLcE,62336367,dc35d5dc-9339-4eb1-b1da-1dcb8125f6c0,2020-08-03T15:39:53,,17
2020-08-03T17:16:37.960+02:00,2020-08-03T17:42:57.629+02:00,username not found,HS-Gather-2019-Senegal,d85058a6-092f-4601-b2c6-ffe05ae7cd21,Hopital principal de Dakar,"1, avenue Nelson Mandela Dakar","1, avenue Nelson Mandela Dakar",Bp3006,Dakar,sénégal,+221775693308,Public,DOCTEUR BA,14.6705 -17.4427 0 229756,14.6705,-17.4427,0,229756,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,1,1,0,0,1,0,0,1,1,1,1,1,,,Ultrasound MRI X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,1,1,1,1,1,1,1,1,1,Yes,,420,96,650,Public,1,0,0,0,No,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62336619,a79e2c23-e8d4-42c6-ba0a-3b5072d7745e,2020-08-03T15:43:09,,18
2020-08-04T11:10:16.963-00:00,2020-08-04T11:49:39.974-00:00,username not found,HS-Gather-2019-Senegal,69010e0f-60bd-4063-b695-238fedf163f2,"Centre de Santé, de Promotion et de Réinsertion Sociale de Sokone",+221339483115,"Sokone, quartier Médine Commune Sokone",,Fatick,Sénégal,+221774403390,Government,Ministère de la Santé et de l'Action Sociale,13.878396 -16.37254 0 0,13.878396,-16.37254,0,0,Operational,Pick the days of the week open and enter hours for each day,Monday Tuesday Wednesday Thursday Friday,1,1,1,1,1,0,0,0,"08:00-18:00
08:00-13:30,14:30-18:00
sunrise-sunset","08:00-13:30,14:30-18:00","08:00-13:30,14:30-18:00","08:00-13:30,14:30-18:00","08:00-13:30,14:30-18:00","08:00-13:30,14:30-18:00",,,,"Mo 08:00-13:30,14:30-18:00; Tu 08:00-13:30,14:30-18:00; We 08:00-13:30,14:30-18:00; Th 08:00-13:30,14:30-18:00; Fr 08:00-13:30,14:30-18:00; Sa off; Su off; PH off",,,"Mo 08:00-13:30,14:30-18:00; Tu 08:00-13:30,14:30-18:00; We 08:00-13:30,14:30-18:00; Th 08:00-13:30,14:30-18:00; Fr 08:00-13:30,14:30-18:00; Sa off; Su off; PH off",,Doctors,Clinic,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,No,,,,,Public,1,0,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62407419,cd4213e1-5001-4572-b5ce-f72cde5486f0,2020-08-04T11:49:55,,19
2020-08-03T11:15:22.816-00:00,2020-08-03T19:10:26.733-00:00,username not found,HS-Gather-2019-Senegal,07afa171-726b-4518-a415-86e9ecc9b60a,Centre de santé médical Koungheul,Koungheul ville,N1,,Koungheul,Sénégal,339467129,Public,Etat du Sénégal,13.979372 -14.803559 0 0,13.979372,-14.803559,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,1,1,0,0,1,0,1,1,1,0,1,1,,,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,1,0,1,0,1,1,1,1,1,Yes,,60,2,9,Public Private,1,1,0,0,Yes,Powered pump,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62347159,3d342d5b-f6f6-4f22-b525-0b1f2b34b01d,2020-08-03T17:20:28,,20
2020-08-03T12:20:10.378-00:00,2020-08-04T10:17:44.271-00:00,username not found,HS-Gather-2019-Senegal,1cd5a8ed-2bde-4c51-b056-b80e96f9f8be,Poste de santé de Mbagam,,,,Rosso Sénégal,senegal,+221772310882,Government,Coumba Nofene Diouf,16.025263 -16.487308 0 0,16.025263,-16.487308,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Birthing center,1,0,0,0,0,0,0,0,0,0,0,1,,,Ultrasound,1,0,0,0,0,0,0,0,0,No,,9,0,2,Public,1,0,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62398840,7cb5dffa-3cf0-4fcb-9949-8b40d0b6935d,2020-08-04T10:17:57,,21
2020-08-04T11:49:40.359-00:00,2020-08-04T12:55:17.374-00:00,username not found,HS-Gather-2019-Senegal,4c5ffe28-4662-47f3-bb03-5504ffc3fe52,Poste de santé Hamo Tefess,,"8, Cité Barry & Ly, guediawaye, Dakar",,Dakar,Sénégal,,Public,Ministère de la Santé et de l'Action Sociale,14.779463 -17.397017 0 0,14.779463,-17.397017,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Pharmacy Birthing center,0,1,0,0,0,0,0,0,0,0,0,1,,,Ultrasound Imaging Equipment Emergency Department,1,0,0,0,0,0,1,0,1,Yes,,2,,2,Public,1,0,0,0,No,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62414443,a22eb6a8-16a4-4c47-882d-7b1041862c52,2020-08-04T12:55:31,,22
2020-08-04T10:17:44.620-00:00,2020-08-04T13:50:18.716-00:00,username not found,HS-Gather-2019-Senegal,26a636b9-8d97-4707-ab46-4a1f59cca5f1,Poste de sante de nafadji,,bembou,,kedougou,Sénégal,774490164,Community,Alioune faye,16.025273 -16.487292 0 0,16.025273,-16.487292,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Alternative Birthing center,1,1,0,0,0,0,1,0,0,0,0,1,,,Emergency Department,0,0,0,0,0,0,0,0,1,Yes,,6,0,2,Public,1,0,0,0,No,Manual pump,Solar,,,,vhREqQbVASG9GM2ppszLcE,62420644,af5c28c9-a694-425d-baa0-68e8fd6dd521,2020-08-04T13:50:31,,23
2020-08-03T17:42:57.857+02:00,2020-08-04T15:53:09.586+02:00,username not found,HS-Gather-2019-Senegal,491f84b7-e1e8-409a-bf18-954b47f61583,Centre médico-social de la fonction publique,,"153, RUE Moussé DIOP, Dakar",,Dakar,Sénégal,+221338215304,Public,DR PATRICE THEOPHILE,14.6705 -17.4427 0 25382,14.6705,-17.4427,0,25382,Operational,Only open on weekdays with the same hours every day.,,,,,,,,,,,,,,,,,,,,08H17H,,Mo-Fr 08H17H; PH off,,Hospital,Doctor Pharmacy Dentist Laboratory,1,1,0,0,1,0,0,1,0,0,0,0,,,Laboratory,0,0,0,0,0,1,0,0,0,No,,1,1,3,Unknown,0,0,0,1,No,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62421027,141ed5c1-2d4c-4c1d-9730-9d83f3a9115c,2020-08-04T13:53:21,,24
2020-08-04T15:41:43.907-00:00,2020-08-04T15:56:43.046-00:00,username not found,HS-Gather-2019-Senegal,af931d88-16a6-46a4-921e-d9436c673eef,Centre de Santé de Sokone,339481531,Sokone,94 sokone senzegal,Fatick,Sénégal,,Public,Ministère de la Santé et de l'action sociale,13.879159 -16.368854 0 0,13.879159,-16.368854,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Clinic Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,1,1,0,1,1,0,1,1,1,0,1,1,,,Ultrasound MRI Operating Theater Laboratory Imaging Equipment Emergency Department,1,1,0,0,1,1,1,0,1,Yes,,96,4,7,Public,1,0,0,0,Limited,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62435428,5c49a428-624b-4f0b-b6f5-c1a06ff58535,2020-08-04T15:56:47,,25
2020-08-04T15:24:48.473-00:00,2020-08-04T15:55:06.414-00:00,username not found,HS-Gather-2019-Senegal,41da1e87-a5af-458f-bd78-02144a316628,Centre de santé de Sokone,,,,,,,,Ministère de la Santé et de l'Action Sociale,14.867552 -16.817838 0 248244,14.867552,-16.817838,0,248244,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Clinic Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,1,1,0,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,Public,1,0,0,0,,,,,,,vhREqQbVASG9GM2ppszLcE,62437592,6be2cc6a-f586-44b9-9698-2a03437cce76,2020-08-04T16:14:52,,26
2020-08-04T15:53:09.730+02:00,2020-08-04T18:32:09.615+02:00,username not found,HS-Gather-2019-Senegal,3eee0ce3-78ed-4bb6-826b-6c5b96e14201,centre de santé de kolda,,"6km, en face de la gendarmerie",,kolda,sénégal,+221339961105,Public,DR SOULEYMANE SAGNA,14.6705 -17.4427 0 25382,14.6705,-17.4427,0,25382,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,1,1,0,0,1,0,0,1,1,0,0,1,,,X-Ray Laboratory Imaging Equipment,0,0,1,0,0,1,1,0,0,No,,24,2,5,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62439506,f7304899-4fd6-43d5-a428-a94e0393a797,2020-08-04T16:32:21,,27
