#"idGeo","Facility","type","Ext Ref","Payam","County","State","Deleted","Indicators","Sampled","Pilot Accessible","Pilot Operational","Extension Accessible","Extension Operational","Alternate Names","Location","ACLED Refs"
12,"Abukadhra PHCC","Primary Health Care Centre","FC07080302","Unknown Payam In Renk","Renk County","Eastern Nile","",0,0,0,0,0,0,"abukadhra-phcc","11.73298, 32.82910",""
13,"Aburoc PHCU (Kodok)","Primary Health Care Unit","FC07020202","Kodok","Kodok County","Western Nile","",115,1,1,1,0,0,"","9.84420, 32.00630",""
14,"Abusaka PHCC (Bagari)","Primary Health Care Centre","FCHAT0000006","Besselia","Bagari County","Wau","",356,1,1,1,0,0,"Abusakka PHCC, Abusakka PHCC.","7.74982, 27.63635",""
15,"Abuyong PHCU","Primary Health Care Unit","FCXAU0000008","Abuyung","Awerial County","Eastern Lakes","",117,1,0,0,1,1,"abuyong-phcu, Abuyung PHCU","6.35389, 31.12750",""
16,"Abwong PHCU","Primary Health Care Unit","FC07010102","Abwong","Akoka County","Eastern Nile","",114,1,0,0,0,1,"","9.15737, 32.20617",""
17,"Abyei Cok","Primary Health Care Unit","FCTAC0000009","Malual North","Aweil North County","Lol","",0,0,0,0,0,0,"","9.18038, 26.94401",""
18,"Achana PHCU","Primary Health Care Unit","FC05010202","Achana","Aweil Centre County","Aweil","",118,1,0,0,0,1,"Achana, achana-phcu","8.75310, 27.31760",""
19,"Achiek PHCU","Primary Health Care Unit","FCRAZ0000034","Meen","Rumbek North County","Western Lakes","",115,1,0,0,1,1,"achiek-phcu","7.21541, 29.67397",""
20,"Achongchong PHCC","Primary Health Care Centre","FC09010402","Unknown Payam In Jur River","Gogrial West County","Gogrial East","",135,1,0,0,1,1,"Achong chong, achongchong-phcc","7.92108, 28.16132",""
21,"Achot PHCU","Primary Health Care Unit","FC09010602","Rocrocdong","Jur River County","Wau","",118,1,0,0,1,1,"achot-phcu","7.70816, 28.15452",""
22,"Acigor PHCU","Primary Health Care Unit","FCJAY0000005","Titagau","Yirol East County","Eastern Lakes","",114,1,0,0,1,1,"Acigor, acigor-phcu","6.71968, 30.54327",""
23,"Adeba PHCU","Primary Health Care Unit","FC02050202","Kurumi","Lopa/Lafon County","Imatong","",115,1,0,0,1,1,"adeba-phcu","5.00974, 32.39590",""
24,"Adere PHCU","Primary Health Care Unit","FC07050102","Kaka","Manyo County","Western Nile","",0,0,0,0,0,0,"","11.01196, 32.51997",""
25,"Adet PHCU","Primary Health Care Unit","FC09010802","Wau Bai","Jur River County","Wau","",118,1,0,0,1,1,"Adet, adet-phcu","8.10538, 28.17049",""
26,"Adior PHCC","Primary Health Care Centre","FC04070102","Adior","Yirol East County","Eastern Lakes","",132,1,0,0,1,1,"Adior, adior-phcc","6.77575, 31.09918",""
27,"Adir-Dir PHCU","Primary Health Care Unit","FC04030302","Amongping","Rumbek Centre County","Western Lakes","",118,1,0,0,1,1,"adir-dir-phcu, Adirdir","6.67811, 29.82751",""
28,"Adok PHCU","Primary Health Care Unit","FC06040702","Adok","Leer County","Southern Liech","",114,1,0,0,1,1,"adok-phcu","8.27098, 30.23372",""
29,"Adol PHCC","Primary Health Care Centre","FC04040902","Aduel","Rumbek East County","Western Lakes","",135,1,0,0,1,1,"adol-phcc","6.51361, 29.86474",""
30,"Adong HI PHCU","Primary Health Care Unit","FC07010202","Adong","Akoka County","Eastern Nile","",0,0,0,0,0,0,"","9.23982, 32.16012",""
31,"Adong PHCC","Primary Health Care Centre","FC07010204","Adong","Akoka County","Eastern Nile","",132,1,0,0,1,1,"","9.23982, 32.16012",""
32,"Adoor PHCU","Primary Health Care Unit","FC05020302","Malual Baai","Aweil East County","Aweil East","",116,1,0,0,1,1,"adoor-phcu","8.94662, 27.74989",""
33,"ADRA Youth Centre","Other","FC01010502","Munuki","Juba County","Jubek","",0,0,0,0,0,0,"","4.82834, 31.53314",""
34,"Affa PHCU","Primary Health Care Unit","FC10030302","Mambe","Maridi County","Maridi","",118,1,0,0,1,1,"affa-phcu","5.02003, 29.78961",""
35,"African Inland Church","Primary Health Care Centre","FC01010202","Juba Town","Juba County","Jubek","",2,0,0,0,0,0,"african-inland-church-phcc","4.99308, 31.68544",""
36,"Agangrial PHCU","Primary Health Care Unit","FCQAP0000003","Ngap","Cueibet County","Gok","",125,1,0,0,1,1,"Agangiria PHCU, agangrial-phcu","6.84952, 29.22597",""
37,"Agany PHCU","Primary Health Care Unit","FC04080202","Aluak-luak","Yirol West County","Eastern Lakes","",119,1,0,0,1,1,"Agany, agany-phcu","6.43656, 30.05466",""
38,"Agei PHCU","Primary Health Care Unit","FC08031002","Kuac North","Gogrial West County","Gogrial East","",118,1,0,0,1,1,"agei-phcu","8.24625, 27.98126",""
39,"Aget PHCU","Primary Health Care Unit","FC08031004","Kuac North","Gogrial West County","Gogrial East","",0,0,0,0,0,0,"","7.75509, 28.19118",""
40,"Agok PHCC","Primary Health Care Centre","FC09030604","Wau South","Bagari County","Wau","",134,1,0,0,1,1,"","7.62847, 28.02327",""
41,"Agonyakiri PHCU","Primary Health Care Unit","FC01060102","Lasu","Yei County","Yei River","",114,1,0,0,0,0,"Agonyakiri, agonyakiri-phcu","4.21978, 30.47822",""
42,"Agoro PHCU","Primary Health Care Unit","FC02070102","Magwi","Magwi County","Imatong","",114,1,0,0,1,1,"Agoro PHCC, agoro-phcu","4.28250, 32.18763",""
43,"Aguat PHCU","Primary Health Care Unit","FC05051402","Gumjuer East","Aweil West County","Lol","",116,1,0,0,1,1,"aguat-phcu","9.07652, 27.09105",""
44,"Aguka PHCU","Primary Health Care Unit","FC08060402","Tonj","Tonj South County","Tonj State","",120,1,1,1,1,0,"Aguka, aguka-phcu","6.98016, 28.71638",""
45,"Agyi PHCU","Primary Health Care Unit","FC10040402","Minga","Mundri East County","Amadi","",114,1,0,0,0,1,"agyi-phcu","5.40460, 30.85960","1366756; 1372222; 1728013"
46,"AIC Lohutok PHCC","Primary Health Care Centre","FC02051102","Lohutok","Lopa/Lafon County","Imatong","",130,1,0,0,1,1,"aic-lohutok-phcc","4.64105, 32.85405",""
47,"Ajak Kuac PHCC","Primary Health Care Centre","FC08070102","Ajak kuac","Twic County","Twic State","",134,1,0,0,1,1,"Ajak kuac, Ajak kuac, Ajak kuac , ajak-kuac-phcc","9.29116, 28.70994",""
48,"Ajak Wol PHCU","Primary Health Care Unit","FC05030202","Malual Centre","Aweil North County","Lol","",118,1,0,0,1,1,"Ajak wolphcu, ajak-wol-phcu, Ajakwol pHCU","9.32963, 27.10386",""
49,"Ajiep PHCU","Primary Health Care Unit","FC08031202","Kuac South","Gogrial West County","Gogrial East","",118,1,0,0,1,1,"ajiep-phcu","8.26565, 28.08922",""
50,"Ajogo PHCU","Primary Health Care Unit","FC08020502","Touch North","Gogrial East County","Gogrial East","",0,0,0,0,0,0,"ajogo-phcu","8.66898, 28.47573",""
51,"Ajong PHCU","Primary Health Care Unit","FC08070602","Wunrok","Twic County","Twic State","",118,1,0,0,1,1,"Ajong, ajong-phcu","9.08637, 28.31622",""
52,"Ajugo PHCU","Primary Health Care Unit","FC09010902","Kangi","Jur River County","Wau","",118,1,0,0,1,1,"Ajugo, ajugo-phcu","7.69160, 28.13580",""
53,"Ajwara PHCU","Primary Health Care Unit","FC03080502","Unknown Payam in Pochalla County","Pochalla County","Boma","",0,0,0,0,0,0,"ajwara-phcu","7.15502, 33.99193",""
54,"Akac PHCU","Primary Health Care Unit","FC05040202","Gakrol","Aweil South County","Aweil","",116,1,0,0,1,1,"Akac, akac-phcu","8.60846, 27.82356",""
55,"Akak PHCC","Primary Health Care Centre","FC08070402","Pan-nyok","Twic County","Twic State","",135,1,0,0,1,1,"Akak, akak-phcc","9.06892, 28.11423",""
56,"Akobo Hosp","County Hospital","FC03010702","Bilkey","Akobo County","Eastern Bieh","",0,0,0,0,0,0,"","7.80978, 33.01719",""
57,"Akobo PHCU","Primary Health Care Unit","FC10010102","Abiemnom","Abiemnon County","Ruweng","",0,0,0,0,0,0,"","9.39497, 23.82297",""
58,"Akoc PHCC","Primary Health Care Centre","FC08070202","Akoc","Twic County","Twic State","",132,1,0,0,1,1,"Akoc, Akoc PHCC, akoc-phcc","9.14350, 28.02101",""
59,"Akon PHCC","Primary Health Care Centre","FC08030304","Akon South","Gogrial West County","Gogrial East","",139,1,0,0,1,1,"akon-phcc","8.88522, 27.95481",""
60,"AkongKar PHCU","Primary Health Care Unit","FCBAL0000007","Chel South","Aweil Centre County","Aweil","",0,0,0,0,0,0,"","8.78493, 26.87925",""
61,"Akop PHCC","Primary Health Care Centre","FC08050102","Akop","Tonj North County","Tonj State","",133,1,0,0,1,1,"Akop, akop-phcc","8.35846, 29.16468",""
62,"Akot PHCC","Primary Health Care Centre","FC04040102","Akot","Rumbek East County","Western Lakes","",133,1,0,0,1,1,"akot-phcc","6.53121, 30.03421",""
63,"Akpa PHCU","Primary Health Care Unit","FC10080404","Tambura","Tambura County","Gbudwe","",115,1,0,0,1,1,"akpa-phcu","5.52066, 27.46684",""
64,"Akrok PHCU","Primary Health Care Unit","FCHAT0000013","Rocrocdong","Jur River County","Wau","",118,1,0,0,1,1,"Akrok, akrok-phcu","7.87190, 28.11931",""
65,"Akrok PHCU","Primary Health Care Unit","FCHAT0000012","Rocrocdong","Jur River County","Wau","Deleted",0,0,0,0,0,0,"","7.69148, 28.12021",""
66,"Akuai-deng PHCU","Primary Health Care Unit","FC03020404","Jalle","Bor County","Jonglei","",116,1,0,0,1,1,"akuai-deng-phcu, Akuaideng","6.56398, 31.52987",""
67,"Akuak Koc PHCU","Primary Health Care Unit","FC05051202","Ayat West","Aweil West County","Lol","",0,0,0,0,0,0,"","8.75310, 27.31760",""
68,"Akuak Malual PHCU","Primary Health Care Unit","FCQAP0000004","Malual North","Aweil North County","Lol","",0,0,0,0,0,0,"akuak-malual-phcu","9.18038, 26.94401",""
69,"Akuem Hospital","County Hospital","FC05020802","Yargot","Aweil East County","Aweil East","Deleted",0,0,0,0,0,0,"","8.99374, 27.46908",""
70,"Alabek PHCC","Primary Health Care Centre","FC08050202","Alabek","Tonj North County","Tonj State","",133,1,0,0,1,1,"Alabek, alabek-phcc","8.53493, 28.93110",""
71,"Alaki PHCU","Primary Health Care Unit","FC07070502","Panyiduai","Panyikang County","Western Nile","",0,0,0,0,0,0,"","9.37810, 31.53760",""
72,"Alali PHCU","Primary Health Care Unit","FC03010102","Alali","Akobo County","Eastern Bieh","",0,0,0,0,0,0,"","7.74295, 33.26682",""
73,"Alari PHCU","Primary Health Care Unit","FC03080504","Unknown Payam in Pochalla County","Pochalla County","Boma","",0,0,0,0,0,0,"alari-phcu","7.15502, 33.99193",""
74,"Alek PHCC","Primary Health Care Centre","FC08030602","Alek South","Gogrial West County","Gogrial East","",136,1,0,0,1,1,"alek-phcc","8.66413, 28.14899",""
75,"Alelchok PHCU","Primary Health Care Unit","FCHAT0000011","Kangi","Jur River County","Wau","",118,1,0,0,1,1,"3230001, Alelchok, alelchok-phcu","7.77801, 27.97763",""
76,"Alelthong PHCU","Primary Health Care Unit","FC09010904","Kangi","Jur River County","Wau","",0,0,0,0,0,0,"","7.69160, 28.13580",""
77,"Aliek PHCC","Primary Health Care Centre","FC08050302","Aliek","Tonj North County","Tonj State","",133,1,0,0,1,1,"Aliek, aliek-phcc","8.39524, 28.68724",""
78,"Aliet PHCU Outreach","Other","FC03090402","Nyuak","Twic East County","Jonglei","",0,0,0,0,0,0,"","6.83156, 31.46097",""
79,"Aliny PHCU","Primary Health Care Unit","FC08020404","Toch East","Gogrial East County","Gogrial East","",0,0,0,0,0,0,"","8.47863, 28.52989",""
80,"Aljazeira PHCU","Primary Health Care Unit","FC09030606","Wau South","Bagari County","Wau","",0,0,0,0,0,0,"aljazeira-phcu","7.67520, 27.90730",""
81,"Alok phcu","Primary Health Care Unit","FC05010602","Barmayen","Aweil Centre County","Aweil","",118,1,0,0,1,1,"Alok, alok-phcu","8.39304, 27.57095",""
82,"Norris Haight","Primary Health Care Unit","FC04050102","Aloor","Rumbek North County","Western Lakes","",0,0,0,0,0,0,"aloor-phcu","7.78893, 29.65413","Hi, it\'s Norris here!\r\n\r\nI\'m writing because I want to suggest o"
83,"Aloto PHCC","Primary Health Care Centre","FC01040504","Wudabi","Morobo County","Yei River","",0,0,0,0,0,0,"aloto-phcc","4.94530, 31.57260",""
84,"Aluakluak PHCC","Primary Health Care Centre","FC04080204","Aluak-luak","Yirol West County","Eastern Lakes","",259,1,1,1,1,1,"Aluakluak, aluakluak-phcc","6.47632, 30.10521",""
85,"Aluel Acot PHCU","Primary Health Care Unit","FC05051602","Gomjuer Centre","Aweil West County","Lol","",116,1,0,0,1,1,"Aluel achot phcu, Aluel cot phcu, aluel-acot-phcu","9.09857, 27.04281",""
86,"Amadi PHCU","Primary Health Care Unit","FC10050102","Amadi","Mundri West County","Amadi","",119,1,0,0,1,1,"amadi-phcu","5.51894, 30.33530",""
87,"Amaki PHCU","Primary Health Care Unit","FC10030102","Kozi","Maridi County","Maridi","",114,1,0,0,0,1,"amaki-phcu","5.14194, 29.47700","1608046, 1377272, 1377273, 1377487, 1377665, 1378756, 1379145, 1"
88,"AmathNyang PHCU","Primary Health Care Unit","FC05051404","Gumjuer East","Aweil West County","Lol","",116,1,0,0,1,1,"amathnyang-phcu, Amatnyang PHCU","9.11688, 27.14497",""
89,"Amee PHCU","Primary Health Care Unit","FC02070704","Unknown Payam In Magwi","Magwi County","Imatong","",114,1,0,0,1,1,"amee-phcu","4.07201, 32.03494",""
90,"Amer PHCU","Primary Health Care Unit","FC04040802","Unknown Payam In Rumbek East","Rumbek East County","Western Lakes","",118,1,0,0,1,1,"amer-phcu","6.62725, 29.75646",""
91,"Ameth akok PHCU","Primary Health Care Unit","FC05020304","Malual Baai","Aweil East County","Aweil East","",116,1,0,0,1,1,"","9.12640, 27.76925",""
92,"Ameth Duang PHCU","Primary Health Care Unit","FCTAC0000010","Malual Baai","Aweil East County","Aweil East","",0,0,0,0,0,0,"","9.05332, 27.76139",""
93,"Ameth-Duol PHCU","Primary Health Care Unit","FC04020104","Abiriu","Cueibet County","Gok","",115,1,0,0,1,1,"Ameth Duol, ameth-duol-phcu","6.93548, 29.43481",""
94,"Amiru PHCU","Primary Health Care Unit","FC02050302","Marguna","Lopa/Lafon County","Imatong","",114,1,0,0,1,1,"amiru-phcu","5.10148, 32.48488",""
95,"Amok PHCU","Primary Health Care Unit","FCRAZ0000035","Meen","Rumbek North County","Western Lakes","",118,1,0,0,1,1,"amok-phcu","7.21541, 29.67397",""
96,"Amothic PHCU","Primary Health Care Unit","FC05050402","Mariam","Aweil West County","Lol","",114,1,0,0,1,1,"Amodhic phcu, amothic-phcu","8.89802, 27.16640",""
97,"Ananatak PHCU","Primary Health Care Unit","FC08040102","Ananatak","Tonj East County","Tonj State","",118,1,0,0,1,1,"ananatak-phcu","7.73208, 29.02518",""
98,"Anatkou PHCU","Primary Health Care Unit","FC03030102","Duk Padiet","Duk County","Jonglei","",0,0,0,0,0,0,"","7.71040, 31.34408",""
99,"Angebi PHCU","Primary Health Care Unit","FC01060302","Tore","Yei County","Yei River","",114,1,0,0,0,0,"Angebi, angebi-phcu","4.39814, 30.23401",""
100,"Angerger PHCU","Primary Health Care Unit","FC08020202","Pathoun East","Gogrial East County","Gogrial East","",0,0,0,0,0,0,"","8.27123, 28.50994",""
101,"Angol PHCU","Primary Health Care Unit","FC05051604","Gomjuer Centre","Aweil West County","Lol","",230,1,0,0,1,1,"Angol, angol-phcu","8.84012, 27.38977",""
102,"Angui PHCU","Primary Health Care Unit","FCRAZ0000006","Gogrial","Gogrial West County","Gogrial East","",0,0,0,0,0,0,"","8.37741, 28.58678",""
103,"Anguoth PHCU","Primary Health Care Unit","FC08031302","Raiu","Gogrial West County","Gogrial East","",119,1,0,0,1,1,"anguoth-phcu","8.78197, 28.19758",""
104,"Anuol Payam","County Health Department","FC04080304","Anuol","Yirol West County","Eastern Lakes","Deleted",0,0,0,0,0,0,"","6.13517, 30.02052",""
105,"Anyidi PHCC","Primary Health Care Centre","FC03020102","Anyidi","Bor County","Jonglei","",132,1,0,0,1,1,"anyidi-phcc","6.19409, 31.56485",""
106,"Anyiel PHCU","Primary Health Care Unit","FC08070502","Turalei","Twic County","Twic State","",119,1,0,0,1,1,"Anyiel Kuac, anyiel-phcu","9.12494, 28.40742",""
107,"Anyopjang PHCU","Primary Health Care Unit","FC05051502","Guom Juer West","Aweil West County","Lol","",116,1,0,0,1,1,"anyopjang-phcu, Anyuopjang PHCU","9.02927, 26.89915",""
108,"Anzara PHCU","Primary Health Care Unit","FC02070302","Nimule","Magwi County","Imatong","",0,0,0,0,0,0,"anzara-phcu","4.08070, 32.38900",""
109,"AporLang PHCU","Primary Health Care Unit","FC08050502","Awul","Tonj North County","Tonj State","",118,1,0,0,1,1,"Aporlang, aporlang-phcu","8.15228, 28.52698",""
110,"Arapi PHCU","Primary Health Care Unit","FC02070402","Pageri","Magwi County","Imatong","",0,0,0,0,0,0,"arapi-phcu","4.08070, 32.38900",""
111,"Arieth PHCU","Primary Health Care Unit","FC05030102","Malual West","Aweil North County","Lol","",118,1,0,0,1,1,"Araith phcu, arieth-phcu","9.11150, 26.69669",""
112,"Arkangelo PHCU","Primary Health Care Unit","FC04030604","Matangai","Rumbek Centre County","Western Lakes","",0,0,0,0,0,0,"","6.81351, 29.61855",""
113,"Army PHCU","Primary Health Care Unit","FC10020102","Unknown Payam In Ibba","Ibba County","Maridi","",0,0,0,0,0,0,"","4.71853, 29.17108",""
114,"Aromo PHCU","Primary Health Care Unit","FC02050304","Marguna","Lopa/Lafon County","Imatong","",0,0,0,0,0,0,"","5.09400, 32.48178",""
115,"Aroyo PHCC","Primary Health Care Centre","FC05010302","Aroyo","Aweil Centre County","Aweil","",197,1,1,1,1,1,"aroyo-phcc","8.72710, 27.37347",""
116,"Aru 2 PHCU","Primary Health Care Unit","FC01011602","Lokiliri","Juba County","Jubek","",0,0,0,0,0,0,"","4.86970, 31.30920",""
117,"Aru PHCU","Primary Health Care Unit","FC01011604","Lokiliri","Juba County","Jubek","",116,1,0,0,1,1,"aru-phcu","4.86970, 31.30920",""
118,"Aruau PHCU","Primary Health Care Unit","FCXAU0000013","Yirol Town","Yirol West County","Eastern Lakes","",119,1,0,0,1,1,"Aruau, aruau-phcu","6.65098, 30.62548",""
119,"Assossa PHCC","Primary Health Care Centre","FC07100302","Malakal South","Malakal County","Eastern Nile","",135,1,0,0,1,1,"Assosa phcc","9.51608, 31.66436",""
120,"Atar PHCU","Primary Health Care Unit","FC03040102","Afar","Pigi County","Eastern Nile","",130,1,0,0,0,0,"Atar , atar-phcu","9.22620, 31.49060",""
121,"Ateda PHCU","Primary Health Care Unit","FC02010402","Losite","Ikotos County","Imatong","",114,1,0,0,1,1,"ateda-phcu","3.82556, 33.44142",""
122,"Athidwoi PHCU","Primary Health Care Unit","FC07050302","Athiidwony","Manyo County","Western Nile","",0,0,0,0,0,0,"athidwoi-phcc","11.27430, 32.49500",""
123,"Athieng-Pool PHCU","Primary Health Care Unit","FC08050104","Akop","Tonj North County","Tonj State","",117,1,0,0,1,1,"Athieng-puol","8.34744, 29.07271",""
124,"Atiaba PHCU","Primary Health Care Unit","FC04040202","Atiaba","Rumbek East County","Western Lakes","",119,1,0,0,1,1,"atiaba-phcu","6.57659, 29.96278",""
125,"Atido PHCU","Primary Health Care Unit","FC09010704","Udici","Jur River County","Wau","",118,1,0,0,1,1,"Atido, atido-phcu","7.85216, 27.89966",""
126,"Atirieu PHCU","Primary Health Care Unit","FC04080206","Aluak-luak","Yirol West County","Eastern Lakes","",0,0,0,0,0,0,"","6.44882, 30.05911",""
127,"Attit PHCU","Primary Health Care Unit","FC01051602","Tali","Terekeka County","Terekeka","",115,1,0,0,1,1,"Attit, attit-phcu","5.82022, 30.91642",""
128,"Atuk Kuel PHCU","Primary Health Care Unit","FC08030604","Alek South","Gogrial West County","Gogrial East","",118,1,0,0,1,1,"atuk-kuel-phcu, Atukuel PHCU","8.64378, 27.99598",""
129,"Avumadrichi/Mugali PHCC","Primary Health Care Centre","FC02070202","Mugali","Magwi County","Imatong","",0,0,0,0,0,0,"","4.08070, 32.38900",""
130,"Awac PHCU","Primary Health Care Unit","FC04040904","Aduel","Rumbek East County","Western Lakes","",115,1,0,0,1,1,"awac-phcu","6.52020, 29.80890",""
131,"Aweil State Hospital","State Hospital","FCBAL0000002","Mariem East","Aweil West County","Lol","",0,0,0,0,0,0,"","8.82873, 27.30246",""
132,"Aweng PHCC","Primary Health Care Centre","FC08070302","Awang","Twic County","Twic State","",136,1,0,0,1,1,"aweng-phcc","9.13537, 29.63529",""
133,"Awerial PHCU","Primary Health Care Unit","FC04010202","Unknown Payam In Awerial","Awerial County","Eastern Lakes","",2,0,0,0,0,0,"awerial-phcu","6.22497, 31.16717",""
134,"Aweth Akok","County Health Department","FCTAC0000005","Madhol","Aweil East County","Aweil East","",0,0,0,0,0,0,"","9.21523, 27.70168",""
135,"Awoda PHCC","Primary Health Care Centre","FCHAQ0000002","Unknown Payam In Aweil Centre","Aweil Centre County","Aweil","",110,1,0,0,1,1,"awoda-phcc","7.94410, 27.22254",""
136,"Awulic PHCU","Primary Health Care Unit","FC05010304","Aroyo","Aweil Centre County","Aweil","",116,1,0,0,1,1,"awulic-phcu","8.83838, 27.42393",""
137,"Awut-Wut PHCU","Primary Health Care Unit","FC08020102","Nyang","Gogrial East County","Gogrial East","",0,0,0,0,0,0,"awut-wut-phcu","8.59410, 28.60978",""
138,"Awuul PHCU","Primary Health Care Unit","FC08050504","Awul","Tonj North County","Tonj State","",0,0,0,0,0,0,"","8.09041, 28.62098",""
139,"Ayai PHCU (Aweil S)","Primary Health Care Unit","FC05040104","Ayai","Aweil South County","Aweil","",118,1,0,0,1,1,"Ayai, Ayai phcu, ayai-phcu-aweil-s-","8.81850, 27.68143",""
140,"Ayat PHCU","Primary Health Care Unit","FC07050202","Wadakona","Manyo County","Western Nile","",0,0,0,0,0,0,"","11.53662, 32.46999",""
141,"Ayei PHCU","Primary Health Care Unit","FC04030702","Mayom","Rumbek Centre County","Western Lakes","",0,0,0,0,0,0,"ayei-phcu","6.65312, 29.44684",""
142,"Ayeldit PHCU","Primary Health Care Unit","FC03030104","Duk Padiet","Duk County","Jonglei","",0,0,0,0,0,0,"","7.71040, 31.34408",""
143,"Ayii PHCU","Primary Health Care Unit","FC02070706","Unknown Payam In Magwi","Magwi County","Imatong","",86,1,0,0,1,1,"ayii-phcu","4.08070, 32.38900",""
144,"Ayod PHCC","Primary Health Care Centre","FC03110604","Ayod","Ayod County","Western Bieh","",0,0,0,0,0,0,"","8.12424, 31.41063",""
145,"Ayueldit PHCU","Primary Health Care Unit","FC03030106","Duk Padiet","Duk County","Jonglei","",0,0,0,0,0,0,"ayueldit-phcu","7.71040, 31.34408",""
146,"Aywang PHCU","Primary Health Care Unit","FC08030802","Gogrial","Gogrial West County","Gogrial East","",0,0,0,0,0,0,"","8.37741, 28.58678",""
147,"Baach PHCU","Primary Health Care Unit","FC05020102","Baac","Aweil East County","Aweil East","",116,1,0,0,1,1,"Baac Phcu, baach-phcu","9.20076, 27.56310",""
148,"Baakapara PHCU","Primary Health Care Unit","FC10060202","Nagero","Nagero County","Gbudwe","",0,0,0,0,0,0,"","6.37967, 27.76845",""
149,"Baakpara PHCU","Primary Health Care Unit","FC10070402","Sakure","Anzara County","Gbudwe","",117,1,0,0,1,1,"baakpara-phcu","4.51513, 28.28751",""
150,"Baamani PHCU","Primary Health Care Unit","FC10020402","Nabanga","Ibba County","Maridi","",118,1,0,0,1,1,"Bamani phcu","4.51415, 29.12832",""
151,"Bafuca Christian PHCU","Primary Health Care Unit","FC10010104","Andari","Ezo County","Gbudwe","",0,0,0,0,0,0,"","4.95366, 27.69246",""
152,"Bafuku PHCU","Primary Health Care Unit","FC10010106","Andari","Ezo County","Gbudwe","",0,0,0,0,0,0,"bafuku-phcu","4.95366, 27.69246",""
153,"Bagari PHCU","Primary Health Care Unit","FCHAT0000008","Baggari","Bagari County","Wau","",0,0,0,0,0,0,"","7.64493, 27.88387",""
154,"Baggari PHCU","Primary Health Care Unit","FC09030102","Baggari","Bagari County","Wau","",114,1,0,0,0,0,"Baggari, baggari-phcu","7.64493, 27.88387",""
155,"Bagidi PHCU","Primary Health Care Unit","FC10010202","Bagidi","Ezo County","Gbudwe","",114,1,0,0,1,0,"bagidi-phcu","5.26535, 27.70818",1608045
156,"Bagori PHCU","Primary Health Care Unit","FC10100402","Bogori","Mvolo County","Amadi","",115,1,0,0,1,1,"Bogori","6.84120, 30.75800",""
157,"Baguga PHCU","Primary Health Care Unit","FC10090402","Yambio Town","Yambio County","Gbudwe","",116,1,0,0,1,1,"baguga-phcu","4.58092, 28.32668",""
158,"Baidit PHCC","Primary Health Care Centre","FC03020204","Baidit","Bor County","Jonglei","",255,1,1,1,1,1,"baidit-phcc","6.40943, 31.57433",""
159,"Baikpa 1 PHCU","Primary Health Care Unit","FC10010402","Ezo","Ezo County","Gbudwe","",0,0,0,0,0,0,"","5.07671, 27.48552",""
160,"Baikpa 2 PHCU","Primary Health Care Unit","FC10010404","Ezo","Ezo County","Gbudwe","",0,0,0,0,0,0,"","5.07671, 27.48552",""
161,"Bakiringba PHCU","Primary Health Care Unit","FC10080406","Tambura","Tambura County","Gbudwe","",115,1,0,0,1,1,"bakiringba-phcu","5.52066, 27.46684",""
162,"Bakou PHCU","Primary Health Care Unit","FC05020104","Baac","Aweil East County","Aweil East","",116,1,0,0,1,1,"bakou-phcu","9.26558, 27.62523",""
